AGORA Model Name,TaxTree/NCBI ID,Tag,OpACIN-fDNA-001,OpACIN-fDNA-002,OpACIN-fDNA-003,OpACIN-fDNA-004,OpACIN-fDNA-005,OpACIN-fDNA-006,OpACIN-fDNA-007,OpACIN-fDNA-008,OpACIN-fDNA-009,OpACIN-fDNA-010,OpACIN-fDNA-011,OpACIN-fDNA-012,OpACIN-fDNA-013,OpACIN-fDNA-014,OpACIN-fDNA-015,OpACIN-fDNA-016,OpACIN-fDNA-017,OpACIN-fDNA-018,OpACIN-fDNA-019,OpACIN-fDNA-020,OpACIN-fDNA-021,OpACIN-fDNA-022,OpACIN-fDNA-023,OpACIN-fDNA-024,OpACIN-fDNA-025,OpACIN-fDNA-026,OpACIN-fDNA-027,OpACIN-fDNA-028,OpACIN-fDNA-029,OpACIN-fDNA-030,OpACIN-fDNA-031,OpACIN-fDNA-032,OpACIN-fDNA-033,OpACIN-fDNA-034,OpACIN-fDNA-035,OpACIN-fDNA-037,OpACIN-fDNA-038,OpACIN-fDNA-039,PAUS-base16567,PAUS-base20807,PAUS-base27704,PAUS-base34671,PAUS-base35603,PAUS-base36885,PAUS-base38798,PAUS-base44051,PAUS-base48040,PAUS-base48446,PAUS-base49317,PAUS-base49623,PAUS-base50750,PAUS-base51030,PAUS-base51377,PAUS-base51517,PAUS-base51558,PAUS-base51584,PAUS-base51679,PAUS-base51771,PAUS-base51823,PAUS-base51884,PAUS-base51887,PAUS-base51902,PAUS-base52021,PAUS-base52436,PAUS-base52513,PAUS-base52521,PAUS-base52534,PAUS-base52550,PAUS-base52579,PAUS-base52729,PAUS-base52757,PradoNKIbase106,PradoNKIbase107,PradoNKIbase108,PradoNKIbase109,PradoNKIbase110,PradoNKIbase112,PradoNKIbase113,PradoNKIbase114,PradoNKIbase115,PradoNKIbase116,PradoNKIbase117,PradoNKIbase118,PradoNKIbase119,PradoNKIbase120,PradoNKIbase121,PradoNKIbase122,PradoNKIbase123,PradoNKIbase124,PradoNKIbase125,PradoNKIbase128,PradoNKIbase129,PradoNKIbase130,PradoNKIbase131,PradoNKIbase132,PradoNKIbase134,PradoNKIbase135,PradoNKIbase136,PradoNKIbase137,PradoNKIbase139,PradoNKIbase140,PradoNKIbase142,PradoNKIbase143
Blautia_wexlerae_DSM_19850,Blautia wexlerae DSM 19850,Blautia_wexlerae_DSM_19850_0,3704,3712,4353,1103,5462,1349,2286,1776,0,1523,13759,12809,5259,1732,6777,4180,3230,2772,1806,9224,2305,598,1803,5477,4629,999,3277,2330,2465,0,3733,3149,1962,1596,1585,2218,9026,6364,539,2763,5812,1878,1865,3987,1605,1253,2780,2860,298,3539,1701,776,5247,1186,5499,2170,6067,1430,2625,5716,739,5180,2346,2582,532,799,5389,650,1885,1577,1067,2712,9215,6422,7571,4977,1674,3873,2863,7110,7074,3556,4092,2542,9176,9993,10892,9644,8188,1954,9581,8547,32625,3418,18034,9011,1066,13547,4870,24252,20728,40251,10338
Clostridium_methylpentosum_R2_DSM_5476, methylpentosum,_methylpentosum_0,2879,588,10591,422,2781,3553,8328,4589,0,2423,15666,5348,776,1109,1857,10124,2768,3084,2369,3276,12495,48,3837,40,8575,1483,4670,2680,2079,0,555,1912,2189,3239,3724,4544,6103,7436,1856,110,2236,3506,0,8139,1780,1758,3535,6935,121,2024,2821,2937,125,3105,6420,0,3781,830,6025,145,444,6447,642,7407,140,1530,6445,1001,4144,1253,828,3576,10293,4196,3812,5741,1675,7049,1411,1595,4618,5454,2838,1186,1629,3014,2104,3127,8647,677,1735,3933,600,7159,4117,18991,368,6744,6395,0,2381,6847,19157
Clostridium_methylpentosum_R2_DSM_5476, methylpentosum,_methylpentosum_1,4037,5019,1357,101,1710,2766,5863,1275,0,0,0,986,3806,3245,0,1825,4048,2264,3319,0,2298,118,1811,0,3779,2552,1361,1865,2733,0,834,299,2540,2885,8569,1796,5699,2124,2493,0,0,545,0,615,2346,2263,3828,598,407,3666,3942,1811,0,3524,1126,7890,5618,1323,1290,0,305,4997,1054,428,569,2807,555,788,324,1913,1474,2007,5119,4482,15682,6714,1377,4938,433,6636,0,5155,9001,279,1273,238,2553,9916,4658,585,1076,4650,0,3474,1143,7737,1347,6253,1897,860,2840,4280,997
Bacteroides_vulgatus_ATCC_8482,Phocaeicola vulgatus ATCC 8482,Phocaeicola_vulgatus_ATCC_8482_0,1326,1400,11518,1820,1241,10331,16361,2890,0,0,8181,0,8886,606,2092,3437,7092,2309,3656,3230,11016,1674,1065,2608,8834,570,383,2766,959,6282,119,6225,4844,1763,0,931,0,3882,3535,2349,0,0,133,1619,820,2433,5080,2982,823,2548,0,1450,1766,1465,2250,0,468,0,3251,1551,165,713,930,4935,276,1986,1353,1421,1479,988,512,465,1974,542,0,623,129,7306,326,0,17620,1482,1082,253,3746,623,361,2160,2797,5599,1061,3567,129,3295,0,748,1388,2948,0,0,109,8183,529
Blautia_obeum_ATCC_29174,Blautia obeum ATCC 29174,Blautia_obeum_ATCC_29174_0,2341,3126,9192,3728,1574,3096,537,4723,42,0,0,4874,1008,4548,1449,2234,2000,592,744,0,2119,491,1331,2301,259,928,2796,9618,1632,0,872,3065,5335,605,677,1931,375,848,891,199,0,221,1310,0,325,1101,1410,702,124,2595,1094,745,1216,420,1146,0,4054,973,931,755,533,2054,480,1243,380,1196,1895,0,560,1182,408,3511,1720,4159,1929,3151,4190,6238,7524,807,4489,3427,1085,6839,1955,841,3121,3010,3114,7124,5150,2591,327,3304,9038,7772,640,11481,2886,9171,5946,704,12102
Eubacterium_rectale_ATCC_33656, rectale ATCC 33656,_rectale_ATCC_33656_0,1311,2579,0,0,0,1178,0,3108,0,148,0,2763,1579,0,2326,5349,3541,822,78,16124,1451,187,787,551,502,1175,2953,0,733,0,1632,3140,1973,1016,2569,1299,346,79,2320,1943,1759,0,387,2187,105,3657,2428,1616,286,0,1040,0,1168,3755,3516,0,1477,729,1352,3336,563,4648,953,556,206,667,491,760,347,0,1444,4790,280,6696,6558,2178,3315,1349,603,118,8446,510,270,850,1057,5018,0,8283,4911,905,0,2135,140,4791,9250,7770,1572,4880,4569,27218,8132,1670,5143
Clostridium_methylpentosum_R2_DSM_5476, methylpentosum,_methylpentosum_2,617,3189,0,2191,668,0,0,2728,0,3590,0,0,0,2382,240,2897,0,1765,0,1424,1209,0,675,0,271,483,5135,4540,124,0,2644,6560,3177,1899,1351,0,0,0,0,2019,4013,0,0,1598,765,1516,0,1087,0,1454,0,0,11,0,0,4183,0,48,8,3552,0,0,846,445,0,1598,1601,0,555,1071,990,0,0,424,3468,1694,0,6611,11886,0,0,5530,682,15712,0,0,0,0,4681,25484,19953,36,56,5552,28600,745,449,1695,0,0,30,138,4525
Bifidobacterium_adolescentis_ATCC_15703,Bifidobacterium adolescentis ATCC 15703,Bifidobacterium_adolescentis_ATCC_15703_0,2075,3097,0,0,0,0,0,4408,0,8854,0,0,3737,0,1582,0,0,169,0,0,1682,0,0,8431,0,0,198,0,774,0,133,0,0,2722,0,0,0,0,0,0,0,0,0,758,1090,1094,5639,0,0,0,0,0,0,0,0,0,0,247,586,0,0,0,0,0,278,2972,0,0,0,2116,0,1759,4883,2751,5174,722,811,49348,21175,563,50,1434,337,7008,66,1060,0,4297,3917,0,2175,0,23,15157,54,382,1998,1048,4133,3187,8365,0,17563
Ruminococcus_lactaris_ATCC_29176, lactaris ATCC 29176,_lactaris_ATCC_29176_0,1383,804,1860,1393,1237,1774,8817,2751,0,735,0,0,2575,1778,1374,4853,1663,1687,265,706,1111,198,671,751,1053,697,4992,0,630,0,12152,1441,1159,1371,1028,1595,1901,5491,690,240,279,913,103,763,815,1236,1396,1403,374,528,2094,1084,489,456,209,0,470,319,661,512,488,3905,1121,1160,262,341,861,2648,467,0,469,1662,3629,724,6337,1691,318,3322,2816,285,5653,2804,2792,2715,1013,157,824,293,1430,2746,1822,2363,858,4627,145,3345,90,5327,3169,5292,7231,22294,1930
Escherichia_fergusonii_ATCC_35469,Escherichia fergusonii ATCC 35469,Escherichia_fergusonii_ATCC_35469_0,0,14,126,67,15908,200,0,64,34624,4429,9,0,8,3300,12,62,0,9737,22205,2895,534,18009,14,269,0,15096,4653,7,36,201,0,413,7207,6,38,47,4,0,0,773,392,15,1148,0,12,255,0,0,22361,21,5,0,0,841,0,79,0,0,20,1524,0,0,30,12687,221,0,309,487,0,10,0,10,1062,393,47,9,154,0,13,0,337,31,5,2004,50,0,58,25,2009,940,0,930,0,0,3721,8,92,101,76,185,240,0,9
