source,target,source_models,target_models,edge_width
Blautia_wexlerae_DSM_19850_0,Coprococcus_comes_ATCC_27758_0,Blautia_wexlerae_DSM_19850,Coprococcus_comes_ATCC_27758,-0.0122621419028196
Blautia_wexlerae_DSM_19850_0,_lactaris_ATCC_29176_2,Blautia_wexlerae_DSM_19850,Ruminococcus_lactaris_ATCC_29176,0.0604925613153255
Blautia_wexlerae_DSM_19850_0,Unidentified_Christensenellaceae_R-7_group_1,Blautia_wexlerae_DSM_19850,Unidentified_Christensenellaceae_R-7_group_1,-0.0078203559529014
Blautia_wexlerae_DSM_19850_0,Phocaeicola_vulgatus_ATCC_8482_2,Blautia_wexlerae_DSM_19850,Bacteroides_vulgatus_ATCC_8482,-0.28703007786988
Blautia_wexlerae_DSM_19850_0,Ruminiclostridium_cellobioparum_DSM_1351_ATCC_15832_4,Blautia_wexlerae_DSM_19850,Clostridium_cellobioparum_DSM_1351,-0.0014307369808483
Blautia_wexlerae_DSM_19850_0,Ruminiclostridium_cellobioparum_DSM_1351_ATCC_15832_8,Blautia_wexlerae_DSM_19850,Clostridium_cellobioparum_DSM_1351,-0.0083416384851062
Blautia_wexlerae_DSM_19850_0,Blautia_hansenii_DSM_20583_4,Blautia_wexlerae_DSM_19850,Blautia_hansenii_VPI_C7_24_DSM_20583,0.0062647400046366
Blautia_wexlerae_DSM_19850_0,_methoxybenzovorans_SR3_7,Blautia_wexlerae_DSM_19850,Clostridium_methoxybenzovorans_SR3,0.0177309980991504
Blautia_wexlerae_DSM_19850_0,Paraprevotella_clara_YIT_11840_1,Blautia_wexlerae_DSM_19850,Paraprevotella_clara_YIT_11840,-0.404048136071916
Blautia_wexlerae_DSM_19850_0,Anaerostipes_caccae_L192_1,Blautia_wexlerae_DSM_19850,Anaerostipes_caccae_DSM_14662,0.0317177908463459
_methylpentosum_0,Bacteroides_fluxus_YIT_12057_0,Clostridium_methylpentosum_R2_DSM_5476,Bacteroides_fluxus_YIT_12057,0.0153895117302784
_methylpentosum_0,Terrisporobacter_glycolicus_ATCC_14880_DSM_1288_0,Clostridium_methylpentosum_R2_DSM_5476,Clostridium_glycolicum_ATCC_14880,-0.0229848501571848
_methylpentosum_0,Ruminiclostridium_cellobioparum_DSM_1351_ATCC_15832_0,Clostridium_methylpentosum_R2_DSM_5476,Clostridium_cellobioparum_DSM_1351,0.0036789610142237
_methylpentosum_0,_methoxybenzovorans_SR3_8,Clostridium_methylpentosum_R2_DSM_5476,Clostridium_methoxybenzovorans_SR3,0.0716908945257221
_methylpentosum_0,Bacillus_mycoides_DSM_2048_1,Clostridium_methylpentosum_R2_DSM_5476,Bacillus_mycoides_DSM_2048,-0.0054457568647356
_methylpentosum_0,Tyzzerella_nexilis_DSM_1787_0,Clostridium_methylpentosum_R2_DSM_5476,Clostridium_nexile_DSM_1787,-0.317554628924645
_methylpentosum_0,Pseudoflavonifractor_capillosus_ATCC_29799_8,Clostridium_methylpentosum_R2_DSM_5476,Pseudoflavonifractor_capillosus_strain_ATCC_29799,0.0098685675632997
_methylpentosum_0,Schaalia_georgiae_DSM_6843_0,Clostridium_methylpentosum_R2_DSM_5476,Actinomyces_georgiae_DSM_6843,-0.031270017393113
_methylpentosum_0,Clostridium_perfringens_ATCC_13124_6,Clostridium_methylpentosum_R2_DSM_5476,Clostridium_perfringens_ATCC_13124,-0.0320278623151363
_methylpentosum_0,Unidentified_Firmicutes_0,Clostridium_methylpentosum_R2_DSM_5476,Unidentified_Firmicutes_0,-0.0653510285721499
_methylpentosum_1,Escherichia_fergusonii_ATCC_35469_0,Clostridium_methylpentosum_R2_DSM_5476,Escherichia_fergusonii_ATCC_35469,-0.0101664060160728
_methylpentosum_1,_eligens_ATCC_27750_1,Clostridium_methylpentosum_R2_DSM_5476,Eubacterium_eligens_ATCC_27750,0.0470537180948724
_methylpentosum_1,_methoxybenzovorans_SR3_2,Clostridium_methylpentosum_R2_DSM_5476,Clostridium_methoxybenzovorans_SR3,0.0126509176461611
_methylpentosum_1,_lactaris_ATCC_29176_5,Clostridium_methylpentosum_R2_DSM_5476,Ruminococcus_lactaris_ATCC_29176,-0.30360931771577
_methylpentosum_1,Parasutterella_excrementihominis_YIT_11859_0,Clostridium_methylpentosum_R2_DSM_5476,Parasutterella_excrementihominis_YIT_11859,0.0418238528332779
_methylpentosum_1,Ruminococcus_champanellensis_18P13_JCM_17042_1,Clostridium_methylpentosum_R2_DSM_5476,Ruminococcus_champanellensis_18P13,-0.0091472457072895
_methylpentosum_1,_eligens_ATCC_27750_3,Clostridium_methylpentosum_R2_DSM_5476,Eubacterium_eligens_ATCC_27750,0.178486226224687
_methylpentosum_1,_methoxybenzovorans_SR3_9,Clostridium_methylpentosum_R2_DSM_5476,Clostridium_methoxybenzovorans_SR3,0.050023973353274
_methylpentosum_1,Amedibacillus_dolichus_DSM_3991_1,Clostridium_methylpentosum_R2_DSM_5476,Eubacterium_dolichum_DSM_3991,-0.0199809097393886
