source,target,source_models,target_models,edge_width
Blautia_wexlerae_DSM_19850_0,_methylpentosum_0,Blautia_wexlerae_DSM_19850,Clostridium_methylpentosum_R2_DSM_5476,0.117919744121084
Blautia_wexlerae_DSM_19850_0,_lactaris_ATCC_29176_0,Blautia_wexlerae_DSM_19850,Ruminococcus_lactaris_ATCC_29176,0.0435648307109705
Blautia_wexlerae_DSM_19850_0,_eligens_ATCC_27750_0,Blautia_wexlerae_DSM_19850,Eubacterium_eligens_ATCC_27750,0.223815278598965
Blautia_wexlerae_DSM_19850_0,Methanobrevibacter_smithii_ATCC_35061_0,Blautia_wexlerae_DSM_19850,Methanobrevibacter_smithii_ATCC_35061,-0.0434640514995078
Blautia_wexlerae_DSM_19850_0,Blautia_producta_ATCC_27340_DSM_2950_0,Blautia_wexlerae_DSM_19850,Blautia_producta_DSM_2950,0.265841702706441
Blautia_wexlerae_DSM_19850_0,Lachnospira_multipara_ATCC_19207_0,Blautia_wexlerae_DSM_19850,Lachnospira_multipara_ATCC_19207,0.0216241828985344
Blautia_wexlerae_DSM_19850_0,Coprococcus_comes_ATCC_27758_1,Blautia_wexlerae_DSM_19850,Coprococcus_comes_ATCC_27758,0.0317855488046876
Blautia_wexlerae_DSM_19850_0,_methylpentosum_9,Blautia_wexlerae_DSM_19850,Clostridium_methylpentosum_R2_DSM_5476,0.0584941799794357
Blautia_wexlerae_DSM_19850_0,_gnavus_ATCC_29149_1,Blautia_wexlerae_DSM_19850,Ruminococcus_gnavus_ATCC_29149,0.022740734933952
Blautia_wexlerae_DSM_19850_0,_hylemonae_DSM_15053_1,Blautia_wexlerae_DSM_19850,Clostridium_hylemonae_DSM_15053,0.0030147364770403
Blautia_wexlerae_DSM_19850_0,Terrisporobacter_glycolicus_ATCC_14880_DSM_1288_4,Blautia_wexlerae_DSM_19850,Clostridium_glycolicum_ATCC_14880,-0.0080032415645114
Blautia_wexlerae_DSM_19850_0,_methoxybenzovorans_SR3_11,Blautia_wexlerae_DSM_19850,Clostridium_methoxybenzovorans_SR3,0.0407883677415686
Blautia_wexlerae_DSM_19850_0,_methoxybenzovorans_SR3_29,Blautia_wexlerae_DSM_19850,Clostridium_methoxybenzovorans_SR3,0.0110463451094866
Blautia_wexlerae_DSM_19850_0,Raoultella_planticola_ATCC_33531_0,Blautia_wexlerae_DSM_19850,Raoultella_planticola_ATCC_33531,-0.0509761655558777
Blautia_wexlerae_DSM_19850_0,Parabacteroides_distasonis_ATCC_8503_0,Blautia_wexlerae_DSM_19850,Parabacteroides_distasonis_ATCC_8503,-0.0033953443044516
_methylpentosum_0,_methylpentosum_1,Clostridium_methylpentosum_R2_DSM_5476,Clostridium_methylpentosum_R2_DSM_5476,0.0164409333379166
_methylpentosum_0,Phocaeicola_vulgatus_ATCC_8482_0,Clostridium_methylpentosum_R2_DSM_5476,Bacteroides_vulgatus_ATCC_8482,0.0157415124199909
_methylpentosum_0,Streptococcus_cristatus_ATCC_51100_0,Clostridium_methylpentosum_R2_DSM_5476,Streptococcus_cristatus_ATCC_51100,-0.0174520478309712
_methylpentosum_0,_hylemonae_DSM_15053_0,Clostridium_methylpentosum_R2_DSM_5476,Clostridium_hylemonae_DSM_15053,0.0049166684017949
