Tag,AGORA Model Name,TaxTree/NCIB ID,OpACIN-fDNA-001,OpACIN-fDNA-002,OpACIN-fDNA-003,OpACIN-fDNA-004,OpACIN-fDNA-005,OpACIN-fDNA-006,OpACIN-fDNA-007,OpACIN-fDNA-008,OpACIN-fDNA-009,OpACIN-fDNA-010,OpACIN-fDNA-011,OpACIN-fDNA-012,OpACIN-fDNA-013,OpACIN-fDNA-014,OpACIN-fDNA-015,OpACIN-fDNA-016,OpACIN-fDNA-017,OpACIN-fDNA-018,OpACIN-fDNA-019,OpACIN-fDNA-020,OpACIN-fDNA-021,OpACIN-fDNA-022,OpACIN-fDNA-023,OpACIN-fDNA-024,OpACIN-fDNA-025,OpACIN-fDNA-026,OpACIN-fDNA-027,OpACIN-fDNA-028,OpACIN-fDNA-029,OpACIN-fDNA-030,OpACIN-fDNA-031,OpACIN-fDNA-032,OpACIN-fDNA-033,OpACIN-fDNA-034,OpACIN-fDNA-035,OpACIN-fDNA-037,OpACIN-fDNA-038,OpACIN-fDNA-039,PAUS-base16567,PAUS-base20807,PAUS-base27704,PAUS-base34671,PAUS-base35603,PAUS-base36885,PAUS-base38798,PAUS-base44051,PAUS-base48040,PAUS-base48446,PAUS-base49317,PAUS-base49623,PAUS-base50750,PAUS-base51030,PAUS-base51377,PAUS-base51517,PAUS-base51558,PAUS-base51584,PAUS-base51679,PAUS-base51771,PAUS-base51823,PAUS-base51884,PAUS-base51887,PAUS-base51902,PAUS-base52021,PAUS-base52436,PAUS-base52513,PAUS-base52521,PAUS-base52534,PAUS-base52550,PAUS-base52579,PAUS-base52729,PAUS-base52757,PradoNKIbase106,PradoNKIbase107,PradoNKIbase108,PradoNKIbase109,PradoNKIbase110,PradoNKIbase112,PradoNKIbase113,PradoNKIbase114,PradoNKIbase115,PradoNKIbase116,PradoNKIbase117,PradoNKIbase118,PradoNKIbase119,PradoNKIbase120,PradoNKIbase121,PradoNKIbase122,PradoNKIbase123,PradoNKIbase124,PradoNKIbase125,PradoNKIbase128,PradoNKIbase129,PradoNKIbase130,PradoNKIbase131,PradoNKIbase132,PradoNKIbase134,PradoNKIbase135,PradoNKIbase136,PradoNKIbase137,PradoNKIbase139,PradoNKIbase140,PradoNKIbase142,PradoNKIbase143
Blautia_wexlerae_DSM_19850_0,Blautia_wexlerae_DSM_19850,Blautia wexlerae DSM 19850,0.0464,0.0412,0.0431,0.0122,0.0442,0.021,0.0181,0.017,0,0.017,0.1282,0.1772,0.0595,0.0189,0.0546,0.0378,0.0542,0.0298,0.016,0.1025,0.0252,0.0059,0.0179,0.0745,0.0502,0.012,0.0337,0.0237,0.0276,0,0.0342,0.0315,0.023,0.0205,0.0157,0.0268,0.0805,0.065,0.0124,0.0693,0.1221,0.0565,0.0598,0.0976,0.0316,0.0264,0.0602,0.0691,0.0057,0.075,0.0282,0.0154,0.1457,0.0236,0.1098,0.0325,0.1146,0.0474,0.0508,0.1121,0.0152,0.0959,0.0524,0.0445,0.0105,0.0149,0.1002,0.013,0.0393,0.0362,0.0319,0.0293,0.0806,0.073,0.0569,0.0415,0.0159,0.0237,0.017,0.0683,0.0524,0.033,0.032,0.016,0.0713,0.0569,0.0646,0.0634,0.0547,0.0086,0.0593,0.0512,0.2203,0.0238,0.0913,0.057,0.0075,0.0917,0.029,0.1384,0.1461,0.2731,0.0682
_methylpentosum_0,Clostridium_methylpentosum_R2_DSM_5476, methylpentosum,0.036,0.0065,0.1049,0.0047,0.0225,0.0554,0.066,0.0439,0,0.0271,0.146,0.074,0.0088,0.0121,0.015,0.0916,0.0465,0.0332,0.021,0.0364,0.1368,0.0005,0.038,0.0005,0.0931,0.0179,0.048,0.0272,0.0232,0,0.0051,0.0191,0.0257,0.0417,0.0368,0.0549,0.0544,0.0759,0.0428,0.0028,0.047,0.1054,0,0.1993,0.035,0.037,0.0765,0.1676,0.0023,0.0429,0.0467,0.0581,0.0035,0.0619,0.1282,0,0.0714,0.0275,0.1165,0.0028,0.0092,0.1194,0.0143,0.1277,0.0028,0.0285,0.1198,0.0201,0.0864,0.0288,0.0248,0.0387,0.0901,0.0477,0.0287,0.0479,0.0159,0.0432,0.0084,0.0153,0.0342,0.0507,0.0222,0.0075,0.0127,0.0172,0.0125,0.0205,0.0578,0.003,0.0107,0.0235,0.0041,0.0499,0.0208,0.1202,0.0026,0.0457,0.038,0,0.0168,0.0465,0.1263
_methylpentosum_1,Clostridium_methylpentosum_R2_DSM_5476, methylpentosum,0.0505,0.0557,0.0134,0.0011,0.0139,0.0431,0.0464,0.0122,0,0,0,0.0136,0.0431,0.0355,0,0.0165,0.0679,0.0244,0.0294,0,0.0252,0.0012,0.0179,0,0.041,0.0307,0.014,0.0189,0.0306,0,0.0076,0.003,0.0298,0.0371,0.0847,0.0217,0.0508,0.0217,0.0575,0,0,0.0164,0,0.0151,0.0461,0.0477,0.0829,0.0145,0.0078,0.0777,0.0653,0.0358,0,0.0703,0.0225,0.1183,0.1061,0.0438,0.0249,0,0.0063,0.0926,0.0235,0.0074,0.0112,0.0523,0.0103,0.0158,0.0068,0.0439,0.0441,0.0217,0.0448,0.051,0.1179,0.056,0.0131,0.0303,0.0026,0.0637,0,0.0479,0.0705,0.0018,0.0099,0.0014,0.0151,0.0651,0.0311,0.0026,0.0067,0.0278,0,0.0242,0.0058,0.049,0.0094,0.0423,0.0113,0.0049,0.02,0.029,0.0066
Phocaeicola_vulgatus_ATCC_8482_0,Bacteroides_vulgatus_ATCC_8482,Phocaeicola vulgatus ATCC 8482,0.0166,0.0155,0.1141,0.0202,0.0101,0.1611,0.1296,0.0276,0,0,0.0763,0,0.1006,0.0066,0.0169,0.0311,0.119,0.0248,0.0324,0.0359,0.1206,0.0165,0.0105,0.0355,0.0959,0.0069,0.0039,0.0281,0.0107,0.0776,0.0011,0.0623,0.0568,0.0227,0,0.0113,0,0.0396,0.0815,0.059,0,0,0.0043,0.0396,0.0161,0.0512,0.11,0.0721,0.0158,0.054,0,0.0287,0.049,0.0292,0.0449,0,0.0088,0,0.0629,0.0304,0.0034,0.0132,0.0208,0.0851,0.0055,0.037,0.0252,0.0285,0.0308,0.0227,0.0153,0.005,0.0173,0.0062,0,0.0052,0.0012,0.0448,0.0019,0,0.1305,0.0138,0.0085,0.0016,0.0291,0.0035,0.0021,0.0142,0.0187,0.0248,0.0066,0.0214,0.0009,0.023,0,0.0047,0.0097,0.02,0,0,0.0008,0.0555,0.0035
Blautia_obeum_ATCC_29174_0,Blautia_obeum_ATCC_29174,Blautia obeum ATCC 29174,0.0293,0.0347,0.0911,0.0413,0.0127,0.0483,0.0043,0.0451,0.0006,0,0,0.0674,0.0114,0.0497,0.0117,0.0202,0.0336,0.0064,0.0066,0,0.0232,0.0048,0.0132,0.0313,0.0028,0.0112,0.0287,0.0976,0.0182,0,0.008,0.0307,0.0625,0.0078,0.0067,0.0233,0.0033,0.0087,0.0205,0.005,0,0.0066,0.042,0,0.0064,0.0232,0.0305,0.017,0.0024,0.055,0.0181,0.0147,0.0338,0.0084,0.0229,0,0.0766,0.0322,0.018,0.0148,0.011,0.038,0.0107,0.0214,0.0075,0.0223,0.0352,0,0.0117,0.0271,0.0122,0.038,0.0151,0.0473,0.0145,0.0263,0.0397,0.0382,0.0447,0.0078,0.0333,0.0318,0.0085,0.0431,0.0152,0.0048,0.0185,0.0198,0.0208,0.0315,0.0319,0.0155,0.0022,0.023,0.0458,0.0492,0.0045,0.0777,0.0172,0.0523,0.0419,0.0048,0.0798
_rectale_ATCC_33656_0,Eubacterium_rectale_ATCC_33656, rectale ATCC 33656,0.0164,0.0286,0,0,0,0.0184,0,0.0297,0,0.0017,0,0.0382,0.0179,0,0.0187,0.0484,0.0594,0.0088,0.0007,0.1792,0.0159,0.0018,0.0078,0.0075,0.0054,0.0142,0.0303,0,0.0082,0,0.0149,0.0314,0.0231,0.0131,0.0254,0.0157,0.0031,0.0008,0.0535,0.0488,0.0369,0,0.0124,0.0536,0.0021,0.077,0.0526,0.0391,0.0055,0,0.0172,0,0.0324,0.0749,0.0702,0,0.0279,0.0241,0.0261,0.0654,0.0116,0.0861,0.0213,0.0096,0.0041,0.0124,0.0091,0.0153,0.0072,0,0.0432,0.0518,0.0025,0.0761,0.0493,0.0182,0.0314,0.0083,0.0036,0.0011,0.0626,0.0047,0.0021,0.0054,0.0082,0.0286,0,0.0544,0.0328,0.004,0,0.0128,0.0009,0.0334,0.0468,0.0492,0.011,0.033,0.0272,0.1553,0.0573,0.0113,0.0339
_methylpentosum_2,Clostridium_methylpentosum_R2_DSM_5476, methylpentosum,0.0077,0.0354,0,0.0243,0.0054,0,0,0.0261,0,0.0401,0,0,0,0.026,0.0019,0.0262,0,0.019,0,0.0158,0.0132,0,0.0067,0,0.0029,0.0058,0.0527,0.0461,0.0014,0,0.0242,0.0656,0.0372,0.0244,0.0133,0,0,0,0,0.0507,0.0843,0,0,0.0391,0.015,0.0319,0,0.0263,0,0.0308,0,0,0.0003,0,0,0.0627,0,0.0016,0.0002,0.0697,0,0,0.0189,0.0077,0,0.0298,0.0298,0,0.0116,0.0246,0.0296,0,0,0.0048,0.0261,0.0141,0,0.0405,0.0706,0,0,0.0514,0.0053,0.0991,0,0,0,0,0.0313,0.1127,0.1234,0.0002,0.0004,0.0387,0.1448,0.0047,0.0031,0.0115,0,0,0.0002,0.0009,0.0298
Bifidobacterium_adolescentis_ATCC_15703_0,Bifidobacterium_adolescentis_ATCC_15703,Bifidobacterium adolescentis ATCC 15703,0.026,0.0344,0,0,0,0,0,0.0421,0,0.0989,0,0,0.0423,0,0.0128,0,0,0.0018,0,0,0.0184,0,0,0.1147,0,0,0.002,0,0.0087,0,0.0012,0,0,0.035,0,0,0,0,0,0,0,0,0,0.0186,0.0214,0.023,0.1221,0,0,0,0,0,0,0,0,0,0,0.0082,0.0113,0,0,0,0,0,0.0055,0.0553,0,0,0,0.0486,0,0.019,0.0427,0.0313,0.0389,0.006,0.0077,0.3023,0.1258,0.0054,0.0004,0.0133,0.0026,0.0442,0.0005,0.006,0,0.0282,0.0262,0,0.0135,0,0.0002,0.1057,0.0003,0.0024,0.014,0.0071,0.0246,0.0182,0.059,0,0.1158
_lactaris_ATCC_29176_0,Ruminococcus_lactaris_ATCC_29176, lactaris ATCC 29176,0.0173,0.0089,0.0184,0.0154,0.01,0.0277,0.0698,0.0263,0,0.0082,0,0,0.0292,0.0194,0.0111,0.0439,0.0279,0.0181,0.0023,0.0078,0.0122,0.002,0.0066,0.0102,0.0114,0.0084,0.0513,0,0.007,0,0.1112,0.0144,0.0136,0.0176,0.0102,0.0193,0.017,0.0561,0.0159,0.006,0.0059,0.0274,0.0033,0.0187,0.016,0.026,0.0302,0.0339,0.0072,0.0112,0.0347,0.0215,0.0136,0.0091,0.0042,0,0.0089,0.0106,0.0128,0.01,0.0101,0.0723,0.025,0.02,0.0052,0.0064,0.016,0.0531,0.0097,0,0.014,0.018,0.0318,0.0082,0.0477,0.0141,0.003,0.0204,0.0167,0.0027,0.0419,0.026,0.0219,0.0171,0.0079,0.0009,0.0049,0.0019,0.0096,0.0121,0.0113,0.0141,0.0058,0.0323,0.0007,0.0212,0.0006,0.0361,0.0188,0.0302,0.051,0.1512,0.0127
Escherichia_fergusonii_ATCC_35469_0,Escherichia_fergusonii_ATCC_35469,Escherichia fergusonii ATCC 35469,0,0.0002,0.0012,0.0007,0.1288,0.0031,0,0.0006,0.471,0.0495,0.0001,0,0.0001,0.0361,0.0001,0.0006,0,0.1047,0.1965,0.0322,0.0058,0.1779,0.0001,0.0037,0,0.1818,0.0478,0.0001,0.0004,0.0025,0,0.0041,0.0845,0.0001,0.0004,0.0006,0,0,0,0.0194,0.0082,0.0005,0.0368,0,0.0002,0.0054,0,0,0.4279,0.0004,0.0001,0,0,0.0168,0,0.0012,0,0,0.0004,0.0299,0,0,0.0007,0.2187,0.0044,0,0.0057,0.0098,0,0.0002,0,0.0001,0.0093,0.0045,0.0004,0.0001,0.0015,0,0.0001,0,0.0025,0.0003,0,0.0126,0.0004,0,0.0003,0.0002,0.0134,0.0042,0,0.0056,0,0,0.0188,0.0001,0.0006,0.0007,0.0005,0.0011,0.0017,0,0.0001
